expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
121,1,3,2,0,0,9,0,0,9,0,0,0,0,0,3,2,0,0,2,0,0,0,0,8,9,0,0,12,3,1,18,0,1,0,7,0,0,0,0,3,0,0,0
122,0,1,0,0,6,0,0,17,0,0,0,0,98,0,1,2,4,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,5,0,0,1,0,0
123,3,6,0,1,3,0,1,0,0,6,0,0,0,0,0,10,0,2,0,8,0,0,0,3,22,0,0,3,0,0,3,32,0,0,0,0,0,17,0,7,0,0,2
124,1,0,2,6,0,0,4,0,3,3,3,0,27,2,3,36,0,0,0,0,0,2,0,0,2,0,10,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0
125,0,0,2,1,0,22,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,21,8,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,24,26,0,0,0
126,2,0,1,0,21,0,0,0,2,0,10,0,0,0,58,1,0,1,3,0,0,0,1,0,1,0,0,2,0,2,0,1,0,0,0,4,2,0,2,1,0,2,0
127,1,0,0,6,10,0,0,0,0,4,0,6,3,0,0,6,12,9,1,0,0,0,0,0,9,33,11,0,6,0,0,1,1,0,0,0,26,0,5,0,0,0,66
128,0,0,11,0,0,0,3,5,0,1,16,0,21,0,0,2,0,0,0,0,0,1,2,0,0,1,0,1,0,0,5,0,0,1,0,0,0,64,0,0,0,0,0
129,1,2,0,2,1,4,0,0,4,2,0,0,0,20,4,23,2,7,0,0,2,0,0,1,0,3,3,0,0,3,2,6,14,0,0,2,0,9,0,16,0,0,17
130,2,0,1,2,0,4,0,3,1,1,2,0,0,0,8,3,2,6,0,2,2,0,2,1,30,0,1,16,53,0,0,32,0,0,8,0,0,0,5,0,3,1,3
131,0,0,0,0,0,1,0,9,4,6,1,0,2,4,2,1,0,0,4,6,0,33,0,1,0,0,2,4,0,11,0,0,0,0,0,35,0,0,3,0,5,0,0
132,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,23,0,0,2,28,2,0,12,18,0,0,2,0,0,0,0,0,0
133,0,2,0,1,0,1,0,9,0,0,0,2,0,2,1,0,0,0,0,0,0,0,2,0,0,17,0,1,0,0,7,10,8,0,0,17,17,8,3,0,2,183,1
134,0,1,1,3,0,31,9,0,3,4,0,0,5,0,3,0,0,0,0,1,0,14,1,0,0,0,0,3,0,24,0,4,0,0,5,0,0,0,0,3,0,0,0
135,1,6,1,0,3,0,0,53,10,0,2,1,1,0,0,0,0,0,0,0,5,0,31,0,0,0,2,2,3,0,3,0,0,0,3,9,0,9,0,0,9,0,5
136,0,1,1,4,0,0,0,0,0,1,14,0,1,0,0,0,2,0,0,95,0,2,0,0,7,0,2,0,1,0,0,0,45,3,6,0,3,0,5,0,0,0,1
137,0,1,1,0,0,33,1,0,0,0,8,0,0,0,0,2,0,2,2,1,6,0,0,0,0,0,30,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,9
138,0,1,0,61,0,0,51,11,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,6,0,0,28,0,0,27,0
139,0,0,0,0,0,0,3,1,0,0,0,0,0,1,5,0,0,0,15,2,0,13,0,0,13,1,0,0,0,0,10,0,0,0,0,4,0,2,0,0,1,0,0
140,0,1,1,0,4,0,0,70,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,4,23,7,36,2,14,0,0,0,0,0,0,5,0,3,0,3
141,0,0,5,1,0,4,0,43,0,0,0,4,0,0,0,0,1,0,5,0,0,2,0,0,0,7,0,0,0,1,1,0,1,0,0,0,1,0,1,0,4,0,0
142,1,1,0,0,8,0,0,0,0,0,0,0,72,0,0,2,0,0,0,0,0,0,0,3,18,0,3,0,34,0,0,1,7,0,1,0,1,1,7,0,0,0,0
143,1,0,2,0,3,4,0,0,3,0,3,0,1,0,0,0,0,4,1,0,15,0,0,0,0,0,3,0,0,0,0,16,0,116,0,0,0,1,6,0,3,0,1
144,1,1,1,0,8,0,0,0,0,0,0,6,7,3,4,6,5,0,1,0,0,0,0,0,1,0,0,0,0,12,0,5,0,3,0,0,28,0,0,0,0,0,0
145,0,0,0,1,0,0,0,0,15,4,0,7,0,1,0,2,2,1,0,0,0,132,2,0,0,0,0,0,0,2,2,0,10,0,0,0,0,0,1,0,1,0,1
