expert_id,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31,layer_32,layer_33,layer_34,layer_35,layer_36,layer_37,layer_38,layer_39,layer_40,layer_41,layer_42
104,10,11,6,0,12,2,5,0,16,5,11,0,1,39,9,104,13,62,2,1,0,0,6,11,8,19,14,6,12,12,13,2,27,7,15,5,12,3,8,0,96,2,2
105,22,7,17,15,15,1,14,310,1,10,3,9,20,18,0,0,0,0,0,0,7,53,4,0,86,1,20,0,0,1,0,16,6,19,31,12,15,0,17,0,15,11,5
106,25,4,5,2,6,1,0,12,2,2,1,0,1,20,1,3,10,2,0,2,0,0,16,2,20,11,55,1,0,0,2,0,0,0,2,2,95,55,2,0,1,8,0
107,23,1,2,1,2,13,5,4,0,0,89,0,0,23,19,3,0,8,13,46,20,8,13,1,1,41,0,4,2,0,1,1,0,0,2,84,9,7,23,0,4,0,1
108,4,6,21,16,4,0,0,0,0,6,1,0,3,1,1,6,29,99,6,6,3,0,0,10,24,20,0,46,1,0,0,32,2,31,14,1,14,9,1,0,0,1,0
109,20,8,13,5,12,15,0,0,47,1,16,4,3,0,0,2,13,11,15,10,21,21,0,0,0,0,0,17,10,8,4,0,3,3,32,1,63,0,1,3,23,3,11
110,3,1,13,0,15,1,8,37,20,7,6,2,5,7,6,0,23,13,0,1,4,4,6,3,6,1,0,5,32,10,0,0,3,0,1,5,0,14,413,0,1,0,0
111,5,4,0,11,0,0,118,2,3,3,5,3,3,0,0,13,0,5,1,26,19,4,0,2,3,54,1,0,12,4,6,13,23,5,0,18,12,5,1,249,0,4,4
112,12,21,21,21,6,0,15,3,0,11,25,11,0,8,4,1,13,5,0,11,12,0,18,2,26,7,3,2,2,1,4,0,7,9,0,3,0,2,1,7,5,317,26
113,1,6,10,1,17,2,16,0,1,4,2,2,7,25,0,1,3,13,0,5,0,3,19,5,4,0,0,13,11,6,3,15,0,1,0,8,17,1,0,1,2,7,1
114,7,15,6,13,8,0,0,14,23,5,1,6,6,0,1,0,0,2,16,0,4,0,15,17,10,13,17,8,10,0,4,0,0,4,5,0,10,11,4,6,3,0,3
